feature,family,vif,r2_vs_all_others
PV3_B1_T3,PV3,1.0,0.0
PV3_B1_T4,PV3,1.0,0.0
PV3_B1_T6,PV3,1.0,0.0
PV3_B1_T7,PV3,1.0,0.0
PB12_T1,PB12,1.0,0.0
PB9_T2,PB9,1.0,0.0
BB5_T9,BB5,1.0,0.0
PB9_T1,PB9,1.0,0.0
PB1_T3,PB1,1.0,0.0
PB1_T4,PB1,1.0,0.0
PB1_T5,PB1,1.0,0.0
PB1_T6,PB1,1.0,0.0
PB1_T9,PB1,1.0,0.0
PB1_T10,PB1,1.0,0.0
PB1_T11,PB1,1.0,0.0
PB4_T1,PB4,1.0,0.0
PB4_T2,PB4,1.0,0.0
PB4_T3,PB4,1.0,0.0
PB4_T4,PB4,1.0,0.0
PB4_T5,PB4,1.0,0.0
PB4_T6,PB4,1.0,0.0
PB4_T9,PB4,1.0,0.0
PB4_T10,PB4,1.0,0.0
PB4_T11,PB4,1.0,0.0
PB5_T1,PB5,1.0,0.0
PB5_T2,PB5,1.0,0.0
PB5_T4,PB5,1.0,0.0
PB5_T8,PB5,1.0,0.0
PB5_T9,PB5,1.0,0.0
PB5_T12,PB5,1.0,0.0
PB7_T1,PB7,1.0,0.0
PB7_T2,PB7,1.0,0.0
PB7_T4,PB7,1.0,0.0
PB7_T6,PB7,1.0,0.0
PB7_T9,PB7,1.0,0.0
PB7_T10,PB7,1.0,0.0
PB7_T11,PB7,1.0,0.0
PV3_B1_T8,PV3,1.0,0.0
PV3_B2_T1,PV3,1.0,0.0
PV3_B2_T4,PV3,1.0,0.0
PV3_B2_T9,PV3,1.0,0.0
PV3_B6_T9,PV3,1.0,0.0
PV3_B6_T10,PV3,1.0,0.0
PV3_B6_T12,PV3,1.0,0.0
PV3_B7_T1,PV3,1.0,0.0
PV3_B7_T2,PV3,1.0,0.0
PV3_B7_T5,PV3,1.0,0.0
PV3_B7_T8,PV3,1.0,0.0
PV3_B7_T9,PV3,1.0,0.0
PV3_B7_T10,PV3,1.0,0.0
PV3_B7_T11,PV3,1.0,0.0
PV3_B7_T12,PV3,1.0,0.0
BB1_T3,BB1,1.0,0.0
BB1_T5,BB1,1.0,0.0
BB1_T9,BB1,1.0,0.0
BB1_T12,BB1,1.0,0.0
BB3_T3,BB3,1.0,0.0
BB3_T5,BB3,1.0,0.0
BB3_T9,BB3,1.0,0.0
BB3_T12,BB3,1.0,0.0
BB4_T1,BB4,1.0,0.0
BB4_T2,BB4,1.0,0.0
BB4_T10,BB4,1.0,0.0
BB4_T11,BB4,1.0,0.0
